imageId;sourceFilename;visualName;blingId;sku;productName;price;stock;desiredFileName;status;action;notes;sourcePath
B2-IMG001;ChatGPT Image 30 de jun. de 2026, 20_45_31 (2).png;Roleta Kamasutra / Roleta Sexy;16543909026;3104000001682;ROLETA SEXY;24;10;roleta-sexy-3104000001682.jpg;ENCONTRADO_ALTA_CONFIANCA;PODE_APLICAR_APOS_CONFIRMACAO;"Imagem mostra Roleta Kamasutra; Bling possui ROLETA SEXY.";C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 30 de jun. de 2026, 20_45_31 (2).png
B2-IMG002;ChatGPT Image 30 de jun. de 2026, 20_45_50.png;Jogo Duelo do Prazer - fundo vermelho;16653024561;3104000004391;JOGO DUELO DO PRAZER SEXY;12;36;jogo-duelo-do-prazer-sexy-3104000004391.jpg;DUPLICADO_REVISAR;NAO_APLICAR_SEM_ESCOLHER_IMAGEM_PRINCIPAL;Mesmo produto tambem aparece em B2-IMG004.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 30 de jun. de 2026, 20_45_50.png
B2-IMG003;ChatGPT Image 30 de jun. de 2026, 20_46_07.png;Duelo de Casal;;;;;;;PENDENTE_SEM_PRODUTO_EXATO;NAO_APLICAR;Nao encontrei produto Bling exato para Duelo de Casal.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 30 de jun. de 2026, 20_46_07.png
B2-IMG004;ChatGPT Image 30 de jun. de 2026, 20_46_24.png;Jogo Duelo do Prazer - fundo preto;16653024561;3104000004391;JOGO DUELO DO PRAZER SEXY;12;36;jogo-duelo-do-prazer-sexy-3104000004391.jpg;CANDIDATO_PRINCIPAL_DUPLICADO;PODE_APLICAR_SE_ESCOLHIDO;"Imagem alternativa do mesmo produto B2-IMG002; visual mais escuro e produto bem centralizado.";C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 30 de jun. de 2026, 20_46_24.png
B2-IMG005;ChatGPT Image 1 de jul. de 2026, 12_14_15 (4).png;Forsexy Hot Caramelo 30ml;;;;;;;PENDENTE_SEM_PRODUTO_EXATO;NAO_APLICAR;Nao encontrei gel Forsexy Hot Caramelo na Bling local.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_14_15 (4).png
B2-IMG006;ChatGPT Image 1 de jul. de 2026, 12_14_15 (3).png;Forsexy Black Ice 30ml;16666181276;3104000004719;HOT ICE GEL;12;3;hot-ice-gel-3104000004719.jpg;ENCONTRADO_ALTA_CONFIANCA;PODE_APLICAR_APOS_CONFIRMACAO;"Imagem mostra Black Ice; Bling tem HOT ICE GEL.";C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_14_15 (3).png
B2-IMG007;ChatGPT Image 1 de jul. de 2026, 12_14_16 (5).png;Forsexy Hot Leite Condensado 30ml;;;;;;;PENDENTE_SEM_PRODUTO_EXATO;NAO_APLICAR;Nao encontrei gel Hot Leite Condensado na Bling local.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_14_16 (5).png
B2-IMG008;ChatGPT Image 1 de jul. de 2026, 12_14_13 (1).png;Prudence Intima Lencos Umedecidos;16652979695;3104000004386;LENÇO UMEDECIDO INTIMO;17;10;lenco-umedecido-intimo-3104000004386.jpg;ENCONTRADO_ALTA_CONFIANCA;PODE_APLICAR_APOS_CONFIRMACAO;"Imagem mostra Prudence intima lenços umedecidos; Bling possui item generico de lenço umedecido intimo.";C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_14_13 (1).png
B2-IMG009;ChatGPT Image 1 de jul. de 2026, 12_14_14 (2).png;Sexy Balls Triplo Action;;;;;;;PENDENTE_SEM_PRODUTO_EXATO;NAO_APLICAR;Nao encontrei Sexy Balls na Bling local.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_14_14 (2).png
B2-IMG010;ChatGPT Image 1 de jul. de 2026, 12_23_37 (1).png;Algema de Pelucia Luxo Preta - imagem 1;16666339674;3104000004739;ALGEMA PRETA VELUDO;17;5;algema-preta-veludo-3104000004739.jpg;DUPLICADO_REVISAR;NAO_APLICAR_SEM_ESCOLHER_IMAGEM_PRINCIPAL;Mesmo produto tambem aparece em B2-IMG016.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_23_37 (1).png
