productId,sku,slug,productName,category,categoryName,subcategory,subcategoryName,price,stock,blingStatus,color,flavor,variation,currentImage,imageSource,imageScore,imageStatus,descriptionStatus,desiredFileName
16666400685,3104000004763,cachecol-xadrez,CACHECOL XADREZ,acessorios-inverno,Acessórios de Inverno,,,24,48,A,,,,,NONE,,SEM_IMAGEM,DESCRICAO_GENERICA,cachecol-xadrez-3104000004763.jpg
16666393768,3104000004762,cachecol-liso-pompom,CACHECOL LISO POMPOM,acessorios-inverno,Acessórios de Inverno,,,36,12,A,,,,,NONE,,SEM_IMAGEM,DESCRICAO_GENERICA,cachecol-liso-pompom-3104000004762.jpg
16666386904,3104000004761,cachecol-xadrez-premium,CACHECOL XADREZ PREMIUM,acessorios-inverno,Acessórios de Inverno,,,36,12,A,,,,,NONE,,SEM_IMAGEM,DESCRICAO_GENERICA,cachecol-xadrez-premium-3104000004761.jpg
16666378189,,case-ip-16e-cor-branco,CASE IP 16E Cor:BRANCO,capinhas-acessorios-celular,Capinhas e Acessórios de Celular,,,12,0,A,Branco,,Branco,,NONE,,SEM_IMAGEM,DESCRICAO_GENERICA,case-ip-16e-cor-branco.jpg
16666378185,,case-ip-16e-cor-rosa,CASE IP 16E Cor:ROSA,capinhas-acessorios-celular,Capinhas e Acessórios de Celular,,,12,0,A,Rosa,,Rosa,,NONE,,SEM_IMAGEM,DESCRICAO_GENERICA,case-ip-16e-cor-rosa.jpg
16666378183,,case-ip-16e-cor-vermelho,CASE IP 16E Cor:VERMELHO,capinhas-acessorios-celular,Capinhas e Acessórios de Celular,,,12,0,A,Vermelho,,Vermelho,,NONE,,SEM_IMAGEM,DESCRICAO_GENERICA,case-ip-16e-cor-vermelho.jpg
16666378181,,case-ip-16e-cor-preto,CASE IP 16E Cor:PRETO,capinhas-acessorios-celular,Capinhas e Acessórios de Celular,,,12,46,A,Preto,,Preto,,NONE,,SEM_IMAGEM,DESCRICAO_GENERICA,case-ip-16e-cor-preto.jpg
16666357069,3104000004760,mini-bullet-duplo-rosa-ponta-fina,MINI BULLET DUPLO ROSA PONTA FINA,sex-shop,Linha Adulto,sex-shop-vibradores,Vibradores,24,12,A,Rosa,,Rosa,/uploads/products/mini-bullet-rosa-ponta-fina.png,MAPPING_ID,1.00,OK_IMAGEM_BOA,DESCRICAO_OK,mini-bullet-duplo-rosa-ponta-fina-3104000004760.jpg
16666356242,3104000004759,mini-bullet-duplo-vibrador-rosa,MINI BULLET DUPLO VIBRADOR ROSA,sex-shop,Linha Adulto,sex-shop-vibradores,Vibradores,24,13,A,Rosa,,Rosa,/uploads/products/mini-bullet-duplo-rosa.png,MAPPING_ID,1.00,OK_IMAGEM_BOA,DESCRICAO_OK,mini-bullet-duplo-vibrador-rosa-3104000004759.jpg
16666355912,3104000004758,mini-bullet-duplo-linguinha-roxo,MINI BULLET DUPLO LINGUINHA ROXO,sex-shop,Linha Adulto,sex-shop-vibradores,Vibradores,24,11,A,Roxo,,Roxo,/uploads/products/mini-bullet-duplo-linguinha.png,MAPPING_ID,1.00,IMAGEM_GENERICA_KA,DESCRICAO_OK,mini-bullet-duplo-linguinha-roxo-3104000004758.jpg
16666355542,3104000004757,mini-bullet-duplo-sugador-rosa,MINI BULLET DUPLO SUGADOR ROSA,sex-shop,Linha Adulto,sex-shop-vibradores,Vibradores,24,7,A,Rosa,,Rosa,/uploads/products/mini-bullet-duplo-rosa.png,NAME_MATCH,0.80,PRECISA_REVISAO_MANUAL,DESCRICAO_GENERICA,mini-bullet-duplo-sugador-rosa-3104000004757.jpg
16666351847,3104000004756,vibrador-sexy-controle-preto,VIBRADOR SEXY CONTROLE PRETO,sex-shop,Linha Adulto,sex-shop-vibradores,Vibradores,12,4,A,Preto,,Preto,/uploads/products/vibrador-sexy-controle-cores.png,MAPPING_ID,1.00,IMAGEM_GENERICA_KA,DESCRICAO_GENERICA,vibrador-sexy-controle-preto-3104000004756.jpg
